pid,ad_id,overall_rating,free_response
127,1463899,6,
159,1469324,6,Simple and to the point on why it wants your attention.
163,1470887,6,
231,1473380,1,
160,1463520,3,
167,1477945,4,
234,1479951,2,
194,1463290,3,
171,1461427,5,
150,1462090,2,this is a scam
193,1465019,3,
129,1466995,6,
216,1462747,1,
143,1479540,3,
192,1478790,4,don't really care about rob dyrdek 
146,1463875,3,
197,1480771,4,
136,1468122,4,I wouldn't want an advertisement to know my location.
223,1480748,1,
218,1475235,6,
236,1480771,4,
174,1467537,6,
152,1464094,5,
181,1462933,4,
132,1461427,6,"Makes sense.  Wouldn't buy a hand sanitizer so weak, but I'm glad to see that information upfront!"
206,1468254,6,
220,1461270,4,
179,1470844,2,I don't know what this ad is about. What is Peacock and why would I want to watch it?
134,1464094,4,
230,1470503,6,
205,1465916,1,
177,1478334,3,
160,1479540,3,
176,1471141,4,
209,1477215,2,
180,1463899,4,It seems like an interesting extension but I need to know more about how they track you and what kind of additional information is store about you.
130,1464590,4,
175,1472734,5,
234,1465007,5,
166,1470203,3,
219,1469745,4,
194,1463986,3,
158,1464988,4,
169,1474724,4,
215,1477983,2,
210,1469669,2,feels like clickbait
222,1472734,1,
187,1470532,4,
152,1463746,4,
163,1475601,5,
161,1466575,4,Is this a clothing brand? A fabric brand? An online something or other?
197,1464590,4,
185,1464906,3,Not my interest
206,1480643,5,
159,1461765,3,"No information, too basic and looks like it would lead to a scam website."
171,1466379,4,
214,1468584,4,
216,1464894,2,
181,1468598,1,
193,1477215,3,
201,1462834,4,
231,1479189,3,
203,1463290,4,
175,1469473,4,
149,1470844,2,
179,1461515,4,
129,1462907,4,
219,1474994,1,
132,1462091,4,Just not interested in AVON.   But the ad is bland and inoffensive.
236,1465380,3,
139,1466396,4,
148,1461427,3,
220,1470998,5,
154,1465218,2,
223,1478616,1,
143,1473717,2,
227,1462933,4,
138,1479540,6,
218,1468348,6,
205,1462836,3,
235,1474796,2,
243,1469680,5,
268,1465162,2,
134,1466000,4,
193,1471431,3,
144,1465912,6,It is not as intrusive as many other ads I see online
158,1475331,5,
175,1463806,3,
176,1463071,2,
150,1473002,3,
128,1462838,3,
259,1470265,2,
177,1461810,3,
206,1463806,3,
181,1468087,3,
136,1470535,6,"It has good design, but i don't know what is being advertised. "
202,1476836,3,I personally get uncomfortable when medical advice/medicine are advertised in some way.
209,1462372,4,
210,1477062,4,
219,1463887,2,
139,1465019,4,
220,1471808,4,
294,1479291,5,
187,1480404,4,
286,1469745,4,
245,1473380,3,
159,1466424,6,Greatly captured my attention by showing the product image and what it is about.
224,1462110,3,
222,1468874,1,
166,1469745,2,
179,1473738,1,
277,1472730,3,
189,1480728,5,its not a shockong ad to me
284,1462747,3,
214,1465793,6,
201,1477101,7,
313,1471570,3,
215,1466493,4,
231,1463254,6,
269,1463899,5,
129,1466777,5,
205,1463746,4,
235,1463480,5,
268,1469669,1,
180,1473380,3,It just seems so tawdry.
197,1478285,1,
199,1461275,1,
237,1465019,4,
275,1466945,7,
219,1462524,2,
234,1463524,2,
169,1467892,4,
212,1463775,2,
288,1475997,5,
206,1480749,4,
193,1480730,2,
227,1461427,4,
143,1462915,4,
280,1479139,3,
236,1474786,4,
158,1479182,4,
230,1462110,6,
224,1468142,5,
223,1475612,3,
139,1466686,4,
178,1465717,2,Too exaggerated 
179,1462838,3,
313,1462911,1,
249,1468122,4,
154,1477197,2,
171,1477932,4,
220,1462852,4,
273,1471178,3,
163,1463250,5,
259,1479808,4,
174,1468805,2,
138,1474724,7,
295,1480640,5,
289,1479071,2,
210,1469656,4,
147,1469781,4,
222,1469969,1,
218,1472265,3,
159,1463520,6,Got me engaged to check the service out to see what it is about.
243,1468539,3,
215,1477184,1,
209,1461542,3,
186,1465887,3,
187,1463775,1,
225,1464995,6,
271,1471431,3,
277,1466379,5,
256,1467726,5,
294,1465714,3,
189,1468157,6,
172,1469393,4,
150,1470872,2,
214,1461346,3,
176,1472445,1,
201,1479136,1,
286,1473205,1,
188,1473802,1,
134,1472009,4,
304,1462162,5,
280,1478691,5,
136,1479017,2,
179,1475369,5,
151,1477983,4,"It's sponsored by HP, so I imagine it's not going to lead to a shady site. But the fact that it's a contest makes me unlikely to click on it, because odds are probably low that I'd win."
198,1476836,3,
313,1472730,1,
281,1463224,1,
284,1476838,5,
267,1478753,4,
255,1469693,4,
148,1475479,3,
